Entity,Code,Year,Trust in others,Trust in others (Annotations)
Colombia,COL,2022,4.539474,
Croatia,HRV,1998,22.82609,
Croatia,HRV,2004,17.89451,
Croatia,HRV,2010,19.42181,
Croatia,HRV,2022,13.57521,
Cyprus,CYP,2010,9.200013,
Cyprus,CYP,2014,7.481658,
Cyprus,CYP,2022,6.596476,
Czechia,CZE,1993,26.83812,
Czechia,CZE,1998,27.2014,
Czechia,CZE,2004,23.37909,
Czechia,CZE,2010,29.47071,
Czechia,CZE,2022,27.31138,
Denmark,DNK,1984,45.91667,
Denmark,DNK,1993,55.53398,
Denmark,DNK,2004,64.12512,
Denmark,DNK,2010,74.91604,
Denmark,DNK,2022,73.86647,
Dominican Republic,DOM,1998,25.17986,
Ecuador,ECU,2014,7.154742,
Ecuador,ECU,2022,5.75,
Egypt,EGY,2004,37.46667,
Egypt,EGY,2010,18.48929,
Egypt,EGY,2014,21.50089,
Egypt,EGY,2022,7.333333,
El Salvador,SLV,1998,14.11483,
Estonia,EST,1993,27.57936,
Estonia,EST,1998,21.05779,
Estonia,EST,2004,21.67063,
Estonia,EST,2010,31.74287,
Estonia,EST,2014,38.96025,
Estonia,EST,2022,33.94373,
Ethiopia,ETH,2010,21.4,
Ethiopia,ETH,2022,11.86992,
Finland,FIN,1984,56.03191,
Finland,FIN,1993,59.52381,
Finland,FIN,1998,47.923,
Finland,FIN,2004,56.75382,
Finland,FIN,2010,59.9127,
Finland,FIN,2022,68.35999,
France,FRA,1984,22.29873,
France,FRA,1993,21.35729,
France,FRA,2004,21.43032,
France,FRA,2010,23.68455,
France,FRA,2022,26.25627,
Georgia,GEO,1998,17.67928,
Georgia,GEO,2010,19.72111,
Georgia,GEO,2014,8.818635,
Georgia,GEO,2022,9.017171,
Germany,DEU,1984,25.92423,
Germany,DEU,1993,28.87377,
Germany,DEU,1998,32.13228,
Germany,DEU,2004,33.05191,
Germany,DEU,2010,35.58326,
Germany,DEU,2014,44.62337,
Germany,DEU,2022,41.61021,
Ghana,GHA,2010,8.474577,
Ghana,GHA,2014,5.030944,
Greece,GRC,2004,20.49037,
Greece,GRC,2010,20.66105,
Greece,GRC,2022,8.447196,
Guatemala,GTM,2010,14.9303,
Guatemala,GTM,2022,17.9821,
Haiti,HTI,2014,21.34269,
Hong Kong,HKG,2010,40.33546,
Hong Kong,HKG,2014,48,
Hong Kong,HKG,2022,36.37148,
Hungary,HUN,1984,31.91018,
Hungary,HUN,1993,23.82382,
Hungary,HUN,1998,22.46154,
Hungary,HUN,2004,21.40927,
Hungary,HUN,2010,23.9954,
Hungary,HUN,2022,27.15409,
Iceland,ISL,1984,40.5972,
Iceland,ISL,1993,41.73789,
Iceland,ISL,2004,39.2562,
Iceland,ISL,2010,48.51524,
Iceland,ISL,2022,62.27,
India,IND,1993,33.52,
India,IND,1998,32.84314,
India,IND,2004,38.86114,
India,IND,2010,20.68966,
India,IND,2014,16.67484,
India,IND,2022,16.93882,
Indonesia,IDN,2004,45.7,
Indonesia,IDN,2010,37.46898,
Indonesia,IDN,2022,4.637319,
Iran,IRN,2004,49.60506,
Iran,IRN,2010,10.53618,
Iran,IRN,2022,14.80987,
Iraq,IRQ,2004,46.06452,
Iraq,IRQ,2010,38.61533,
Iraq,IRQ,2014,30,
Iraq,IRQ,2022,11,
Ireland,IRL,1984,39.97166,
Ireland,IRL,1993,46.8,
Ireland,IRL,2004,35.18803,
Ireland,IRL,2010,37.31282,
Israel,ISR,2004,22.85238,
Italy,ITA,1984,24.53229,
Italy,ITA,1993,32.75099,
Italy,ITA,2004,31.75,
Italy,ITA,2010,28.74554,
Italy,ITA,2022,26.55384,
Japan,JPN,1984,37.41689,
Japan,JPN,1993,37.58655,
Japan,JPN,1998,39.75332,
Japan,JPN,2004,39.64758,
Japan,JPN,2010,36.58759,
Japan,JPN,2014,35.93942,
Japan,JPN,2022,33.70288,
Jordan,JOR,2004,27.11041,
Jordan,JOR,2010,30.67613,
Jordan,JOR,2014,13.25,
Jordan,JOR,2022,15.87697,
Kazakhstan,KAZ,2014,38.33274,
Kazakhstan,KAZ,2022,22.80564,
Kenya,KEN,2022,9.478673,
Kosovo,OWID_KOS,2010,10.51535,
Kuwait,KWT,2014,28.5495,
Kyrgyzstan,KGZ,2004,16.58677,
Kyrgyzstan,KGZ,2014,36.26667,
Kyrgyzstan,KGZ,2022,12.80132,
Latvia,LVA,1993,19.04762,
Latvia,LVA,1998,23.91667,
Latvia,LVA,2004,16.68312,
Latvia,LVA,2010,24.93126,
Latvia,LVA,2022,22.19023,
Lebanon,LBN,2014,9.833334,
Lebanon,LBN,2022,9.916667,
Libya,LBY,2014,10.01798,
Libya,LBY,2022,9.113712,
Lithuania,LTU,1993,30.8,
Lithuania,LTU,1998,21.30823,
Lithuania,LTU,2004,23.39532,
Lithuania,LTU,2010,27.76398,
Lithuania,LTU,2022,31.69582,
Luxembourg,LUX,2004,24.8527,
Luxembourg,LUX,2010,31.43726,
Macao,MAC,2022,41.44672,
Malaysia,MYS,2010,8.825978,
Malaysia,MYS,2014,8.538462,
Malaysia,MYS,2022,19.5735,
Maldives,MDV,2022,21.07796,
Mali,MLI,2010,14.8631,
Malta,MLT,1984,9.421842,
Malta,MLT,1993,22.88974,
Malta,MLT,2004,20.38216,
Malta,MLT,2010,21.27139,
Mexico,MEX,1984,17.028,
Mexico,MEX,1993,30.24167,
Mexico,MEX,1998,26.42384,
Mexico,MEX,2004,20.79574,
Mexico,MEX,2010,15.44872,
Mexico,MEX,2014,12.4,
Mexico,MEX,2022,10.48835,
Moldova,MDA,1998,21.84959,
Moldova,MDA,2004,14.1357,
Moldova,MDA,2010,14.08897,
Mongolia,MNG,2022,25.98135,
Montenegro,MNE,1998,30.41667,
Montenegro,MNE,2004,32.92453,
Montenegro,MNE,2010,24.03977,
Montenegro,MNE,2022,21.74356,
Morocco,MAR,2004,23.02894,
Morocco,MAR,2010,12.75,
Morocco,MAR,2014,12.33333,
Morocco,MAR,2022,16.5,
Myanmar,MMR,2022,15.08333,
Netherlands,NLD,1984,38.08169,
Netherlands,NLD,1993,50.25825,
Netherlands,NLD,2004,59.38604,
Netherlands,NLD,2010,54.11947,
Netherlands,NLD,2014,66.1409,
Netherlands,NLD,2022,57.02047,
New Zealand,NZL,1998,47.46045,
New Zealand,NZL,2010,48.53249,
New Zealand,NZL,2014,55.29132,
New Zealand,NZL,2022,56.57521,
Nicaragua,NIC,2022,4.25,
Nigeria,NGA,1993,21.67832,
Nigeria,NGA,1998,16.38099,
Nigeria,NGA,2004,25.32146,
Nigeria,NGA,2014,15.01244,
Nigeria,NGA,2022,13.00635,
North Macedonia,MKD,1998,7.537688,
North Macedonia,MKD,2004,13.06877,
North Macedonia,MKD,2010,17.51093,
North Macedonia,MKD,2022,15.05892,
Northern Cyprus,OWID_CYN,2010,4.674655,
Northern Ireland,,1984,43.06532,
Northern Ireland,,1993,42.76316,
Northern Ireland,,2004,38.1769,
Northern Ireland,,2010,28.51343,
Northern Ireland,,2022,38.80566,
Norway,NOR,1984,55.47098,
Norway,NOR,1993,60.69411,
Norway,NOR,1998,64.77374,
Norway,NOR,2010,73.28255,
Norway,NOR,2022,72.09141,
Pakistan,PAK,1998,20.37422,
Pakistan,PAK,2004,28.15,
Pakistan,PAK,2014,22.16998,
Pakistan,PAK,2022,23.30827,
Palestine,PSE,2014,15.8,
Peru,PER,1998,4.872006,
Peru,PER,2004,10.59294,
Peru,PER,2010,6.202934,
Peru,PER,2014,8.369775,
Peru,PER,2022,4.161271,
Philippines,PHL,1998,5.5,
Philippines,PHL,2004,8.293602,
Philippines,PHL,2014,3.151812,
Philippines,PHL,2022,5.330985,
Poland,POL,1993,28.4375,
Poland,POL,1998,16.9124,
Poland,POL,2004,18.27376,
Poland,POL,2010,22.85221,
Poland,POL,2014,22.21159,
Poland,POL,2022,24.11202,
Portugal,PRT,1993,20.73535,
Portugal,PRT,2004,9.820824,
Portugal,PRT,2010,19.16701,
Portugal,PRT,2022,16.91347,
Puerto Rico,PRI,1998,5.927835,
Puerto Rico,PRI,2004,22.36111,
Puerto Rico,PRI,2022,17.6575,
Qatar,QAT,2014,21.428,
Romania,ROU,1993,15.77516,
Romania,ROU,1998,17.91768,
Romania,ROU,2004,9.860384,
Romania,ROU,2010,17.83797,
Romania,ROU,2014,7.672767,
Romania,ROU,2022,12.13196,
Russia,RUS,1993,34.72718,
Russia,RUS,1998,23.23529,
Russia,RUS,2004,22.93443,
Russia,RUS,2010,26.24944,
Russia,RUS,2014,27.84828,
Russia,RUS,2022,22.87902,
Rwanda,RWA,2010,4.844061,
Rwanda,RWA,2014,16.63392,
Saudi Arabia,SAU,2004,50.53262,
Serbia,SRB,1998,28.4375,
Serbia,SRB,2004,18.33333,
Serbia,SRB,2010,12.64305,
Serbia,SRB,2022,16.3166,
Singapore,SGP,2004,16.66935,
Singapore,SGP,2014,37.30294,
Singapore,SGP,2022,34.39151,
Slovakia,SVK,1993,21.28589,
Slovakia,SVK,1998,25.75342,
Slovakia,SVK,2004,15.22629,
Slovakia,SVK,2010,12.10387,
Slovakia,SVK,2022,21.59557,
Slovenia,SVN,1993,16.3285,
Slovenia,SVN,1998,15.29295,
Slovenia,SVN,2004,21.17296,
Slovenia,SVN,2010,21.08073,
Slovenia,SVN,2014,19.92516,
Slovenia,SVN,2022,25.26486,
South Africa,ZAF,1984,26.06516,
South Africa,ZAF,1993,26.63296,
South Africa,ZAF,1998,17.57288,
South Africa,ZAF,2004,11.51627,
South Africa,ZAF,2014,23.28115,
South Korea,KOR,1984,35.97938,
South Korea,KOR,1993,33.57314,
South Korea,KOR,1998,30.26421,
South Korea,KOR,2004,27.33333,
South Korea,KOR,2010,28.00356,
South Korea,KOR,2014,26.45815,
South Korea,KOR,2022,32.93173,
Spain,ESP,1984,32.23605,
Spain,ESP,1993,32.063,
Spain,ESP,1998,28.66726,
Spain,ESP,2004,34.50539,
Spain,ESP,2010,27.64687,
Spain,ESP,2014,18.97492,
Spain,ESP,2022,40.96439,
Sweden,SWE,1984,52.09644,
Sweden,SWE,1993,59.59885,
Sweden,SWE,1998,56.59068,
Sweden,SWE,2004,63.71845,
Sweden,SWE,2010,63.94534,
Sweden,SWE,2014,60.10379,
Sweden,SWE,2022,62.76585,
Switzerland,CHE,1993,26.52555,
Switzerland,CHE,1998,37.84789,
Switzerland,CHE,2010,52.23752,
Switzerland,CHE,2022,58.53579,
Taiwan,TWN,1998,36.92308,
Taiwan,TWN,2010,24.17406,
Taiwan,TWN,2014,30.26633,
Taiwan,TWN,2022,30.79179,
Tajikistan,TJK,2022,20.58333,
Tanzania,TZA,2004,7.685739,
Thailand,THA,2010,41.26467,
Thailand,THA,2014,32.08202,
Thailand,THA,2022,28.88868,
Trinidad and Tobago,TTO,2010,3.819066,
Trinidad and Tobago,TTO,2014,3.203203,
Tunisia,TUN,2014,15.51867,
Tunisia,TUN,2022,13.8245,
Turkey,TUR,1993,9.805825,
Turkey,TUR,1998,6.466378,
Turkey,TUR,2004,15.51625,
Turkey,TUR,2010,8.844386,
Turkey,TUR,2014,11.62453,
Turkey,TUR,2022,13.99586,
Uganda,UGA,2004,7.587222,
Ukraine,UKR,1998,28.77979,
Ukraine,UKR,2004,26.07209,
Ukraine,UKR,2010,25.98927,
Ukraine,UKR,2014,23.1215,
Ukraine,UKR,2022,28.34588,
United Kingdom,GBR,1984,42.48064,"England, Scotland, and Wales"
United Kingdom,GBR,1993,42.13953,"England, Scotland, and Wales"
United Kingdom,GBR,1998,30.44983,"England, Scotland, and Wales"
United Kingdom,GBR,2004,28.54928,"England, Scotland, and Wales"
United Kingdom,GBR,2010,35.34413,"England, Scotland, and Wales"
United Kingdom,GBR,2022,43.31179,"England, Scotland, and Wales"
United States,USA,1984,39.2496,
United States,USA,1993,49.9909,
United States,USA,1998,34.95129,
United States,USA,2004,35.51853,
United States,USA,2010,39.13124,
United States,USA,2014,34.81074,
United States,USA,2022,37.02172,
Uruguay,URY,1998,21.64048,
Uruguay,URY,2010,24.6,
Uruguay,URY,2014,13.8,
Uruguay,URY,2022,14.47495,
Uzbekistan,UZB,2014,13.86667,
Uzbekistan,UZB,2022,33.6,
Venezuela,VEN,1998,13.33333,
Venezuela,VEN,2004,15.83333,
Venezuela,VEN,2022,14.20168,
Vietnam,VNM,2004,38.7,
Vietnam,VNM,2010,50.90301,
Vietnam,VNM,2022,27.66667,
Yemen,YEM,2014,38.5,
Zambia,ZMB,2010,10.8,
Zimbabwe,ZWE,2004,11.66829,
Zimbabwe,ZWE,2014,8.294227,
Zimbabwe,ZWE,2022,2.139918,
